Iteracoes,Aproximacao_PI,PI_Real,Erro_Absoluto,Tempo_ms,Precisao,Digitos_Corretos
7900,3.1414660713,3.141592653589793,0.0001265823,0.000,100.00,3
8000,3.1414676536,3.141592653589793,0.0001250000,0.000,100.00,3
8100,3.1414691968,3.141592653589793,0.0001234568,0.000,100.00,3
8200,3.1414707024,3.141592653589793,0.0001219512,0.000,100.00,3
8300,3.1414721717,3.141592653589793,0.0001204819,0.000,100.00,3
8400,3.1414736060,3.141592653589793,0.0001190476,0.000,100.00,3
8500,3.1414750065,3.141592653589793,0.0001176471,0.000,100.00,3
8600,3.1414763745,3.141592653589793,0.0001162791,0.000,100.00,3
8700,3.1414777111,3.141592653589793,0.0001149425,0.000,100.00,3
8800,3.1414790172,3.141592653589793,0.0001136364,0.000,100.00,3
8900,3.1414802940,3.141592653589793,0.0001123596,0.000,100.00,3
9000,3.1414815425,3.141592653589793,0.0001111111,0.000,100.00,3
9100,3.1414827635,3.141592653589793,0.0001098901,0.000,100.00,3
9200,3.1414839579,3.141592653589793,0.0001086957,0.000,100.00,3
9300,3.1414851267,3.141592653589793,0.0001075269,0.000,100.00,3
9400,3.1414862706,3.141592653589793,0.0001063830,0.000,100.00,3
9500,3.1414873904,3.141592653589793,0.0001052632,0.000,100.00,3
9600,3.1414884869,3.141592653589793,0.0001041667,0.000,100.00,3
9700,3.1414895608,3.141592653589793,0.0001030928,0.000,100.00,3
9800,3.1414906128,3.141592653589793,0.0001020408,0.000,100.00,3
9900,3.1414916435,3.141592653589793,0.0001010101,0.000,100.00,3
10000,3.1414926536,3.141592653589793,0.0001000000,0.000,100.00,3
10100,3.1414936437,3.141592653589793,0.0000990099,0.000,100.00,3
10200,3.1414946144,3.141592653589793,0.0000980392,0.000,100.00,3
10300,3.1414955662,3.141592653589793,0.0000970874,0.000,100.00,3
10400,3.1414964997,3.141592653589793,0.0000961538,0.000,100.00,3
10500,3.1414974155,3.141592653589793,0.0000952381,0.000,100.00,3
10600,3.1414983140,3.141592653589793,0.0000943396,0.000,100.00,3
10700,3.1414991956,3.141592653589793,0.0000934579,0.000,100.00,3
10800,3.1415000610,3.141592653589793,0.0000925926,0.000,100.00,4
10900,3.1415009105,3.141592653589793,0.0000917431,0.000,100.00,4
11000,3.1415017445,3.141592653589793,0.0000909091,0.000,100.00,4
11100,3.1415025635,3.141592653589793,0.0000900901,0.000,100.00,4
11200,3.1415033679,3.141592653589793,0.0000892857,0.000,100.00,4
11300,3.1415041580,3.141592653589793,0.0000884956,0.000,100.00,4
11400,3.1415049343,3.141592653589793,0.0000877193,0.000,100.00,4
11500,3.1415056971,3.141592653589793,0.0000869565,0.000,100.00,4
11600,3.1415064467,3.141592653589793,0.0000862069,0.000,100.00,4
11700,3.1415071835,3.141592653589793,0.0000854701,0.000,100.00,4
11800,3.1415079078,3.141592653589793,0.0000847458,0.000,100.00,4
11900,3.1415086200,3.141592653589793,0.0000840336,0.000,100.00,4
12000,3.1415093203,3.141592653589793,0.0000833333,0.000,100.00,4
12100,3.1415100090,3.141592653589793,0.0000826446,0.000,100.00,4
12200,3.1415106864,3.141592653589793,0.0000819672,0.000,100.00,4
12300,3.1415113528,3.141592653589793,0.0000813008,0.000,100.00,4
12400,3.1415120084,3.141592653589793,0.0000806452,0.000,100.00,4
12500,3.1415126536,3.141592653589793,0.0000800000,0.000,100.00,4
12600,3.1415132885,3.141592653589793,0.0000793651,0.000,100.00,4
12700,3.1415139134,3.141592653589793,0.0000787402,0.000,100.00,4
12800,3.1415145286,3.141592653589793,0.0000781250,0.000,100.00,4
12900,3.1415151342,3.141592653589793,0.0000775194,0.000,100.00,4
13000,3.1415157305,3.141592653589793,0.0000769231,0.000,100.00,4
13100,3.1415163177,3.141592653589793,0.0000763359,0.000,100.00,4
13200,3.1415168960,3.141592653589793,0.0000757576,0.000,100.00,4
13300,3.1415174656,3.141592653589793,0.0000751880,0.000,100.00,4
13400,3.1415180267,3.141592653589793,0.0000746269,0.000,100.00,4
13500,3.1415185795,3.141592653589793,0.0000740741,0.000,100.00,4
13600,3.1415191242,3.141592653589793,0.0000735294,0.000,100.00,4
13700,3.1415196609,3.141592653589793,0.0000729927,0.000,100.00,4
13800,3.1415201898,3.141592653589793,0.0000724638,0.000,100.00,4
13900,3.1415207111,3.141592653589793,0.0000719424,0.000,100.00,4
14000,3.1415212250,3.141592653589793,0.0000714286,0.000,100.00,4
14100,3.1415217316,3.141592653589793,0.0000709220,0.000,100.00,4
14200,3.1415222311,3.141592653589793,0.0000704225,0.000,100.00,4
14300,3.1415227235,3.141592653589793,0.0000699301,0.000,100.00,4
14400,3.1415232091,3.141592653589793,0.0000694444,0.000,100.00,4
14500,3.1415236881,3.141592653589793,0.0000689655,0.000,100.00,4
14600,3.1415241604,3.141592653589793,0.0000684932,0.000,100.00,4
14700,3.1415246264,3.141592653589793,0.0000680272,0.000,100.00,4
14800,3.1415250860,3.141592653589793,0.0000675676,0.000,100.00,4
14900,3.1415255395,3.141592653589793,0.0000671141,0.000,100.00,4
15000,3.1415259869,3.141592653589793,0.0000666667,0.000,100.00,4
15100,3.1415264284,3.141592653589793,0.0000662252,0.000,100.00,4
15200,3.1415268641,3.141592653589793,0.0000657895,0.000,100.00,4
15300,3.1415272941,3.141592653589793,0.0000653595,0.000,100.00,4
15400,3.1415277185,3.141592653589793,0.0000649351,0.000,100.00,4
15500,3.1415281375,3.141592653589793,0.0000645161,0.000,100.00,4
15600,3.1415285510,3.141592653589793,0.0000641026,0.000,100.00,4
